Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),extra,
spotify:track:3RnLEACttdwU6futFsaflI,Bow Wow (That's My Name),"Bow Wow, Snoop Dogg",Beware Of Dog,1,7,223266,,
spotify:track:3JILPb8Uc6NKmHq1poT5ML,Shut Up,The Black Eyed Peas,Elephunk (International Version),1,5,296186,,
spotify:track:2tVouQintSo2ffjVgnv6Sh,My Humps,The Black Eyed Peas,Monkey Business (International Version),1,5,326611,,
spotify:track:4QNJd8ma02Oy9PBenHErs1,"Lay Low - Feat. Master P, Nate Dogg, Butch Cassidy And Tha Eastsidaz",Snoop Dogg,The Best Of Snoop Dogg,1,4,222360,,
spotify:track:4J4iNlQ3upSe02I7KLR2Kr,Nobody Does It Better (feat. Warren G),"Nate Dogg, Warren G",Nate Dogg: The Collection,1,1,270400,,
spotify:track:52riputZ4Vo5PG9MOSy6r5,I Got Love,Nate Dogg,Music And Me,1,1,236226,,
spotify:track:6Ig7R7UfXLd0fS1uF7f2hY,Hardest Man in Town,Nate Dogg,The Album,1,5,247893,,
spotify:track:2gptNZsns1MxsJJl5sbO3e,Nobody Does It Better,Nate Dogg,The Album,1,7,270399,,
spotify:track:1Wk59GxXboLAfqSjtVxDLp,Eazy-Duz-It,Eazy-E,Snoop Dogg Presents: The West Coast Blueprint,1,2,258426,,
spotify:track:2XQHtnT3J6sOOmS0YWF7Cp,We Want Eazy,Eazy-E,Eazy Duz It,1,7,301426,,
spotify:track:1heUTaryu6xDcGk7NJLVnF,Real Muthaphuckkin G's,Eazy-E,It's On (Dr. Dre) 187um Killa,1,2,332626,,
spotify:track:7JLZqMMterOru5WAUCpA4S,You's A Hoe,DJ Whoo Kid & Spider Loc,G-Unit Radio 18: Rags To Riches,1,21,179493,,
spotify:track:5IRU4NVjnJTyAKEH6e3gZK,Ayo Technology,"50 Cent, Justin Timberlake, Timbaland",Ayo Technology (International Version),1,1,248586,,
spotify:track:2g9E9UyZ3pdJ1eqUQW0tfQ,Xxplosive,"Dr. Dre, Hittman, Six-Two, Nate Dogg, Kurupt",2001 (Explicit Version),1,6,215266,,
spotify:track:0Pv6l44xfkxxYe4Sp6yMgy,Shit Hits The Fan,"Obie Trice, Dr. Dre",Cheers,1,8,291967,,
spotify:track:5Zi5RHFI0tWKkzoiob2OtU,Crack A Bottle,"Eminem, Dr. Dre, 50 Cent",Crack A Bottle,1,1,314560,,
spotify:track:31ZkEyJlfJtCjyMhmZxLEd,I'll Still Kill,"50 Cent, Akon",Curtis,1,4,223506,,
spotify:track:43CKG4Ag1kYOsNUCcHr7nI,1970 Somethin' (feat. The Game and Faith Evans),"The Notorious B.I.G., Faith Evans, The Game",Duets: The Final Chapter,1,8,205920,,
spotify:track:3Ht6Kfr0Dl7lu04u7jMSaw,Many Men (Wish Death),50 Cent,Get Rich Or Die Tryin' (Explicit Version),1,4,256226,,
spotify:track:7jtJAr2MUgRorLuNnOJJ4S,Neva Have 2 Worry,Snoop Dogg,Ego Trippin',1,5,258133,,
