•ÈÀ•ÈÀSpotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:4VUHcCmbcK4NYLk2fZwr7P,Hysteria (feat. Stockholm Syndrome) - Extended Edit,"Young Squage, Stockholm Syndrome",Hysteria (feat. Stockholm Syndrome),1,2,267920,spotify:user:plopous,2014-02-11T12:48:22Z
spotify:track:3kjdWjP80VDfYq4B7SBeUI,GTO (Original Mix),Henry Aya,GTO,1,1,367506,spotify:user:plopous,2014-02-11T13:21:16Z
spotify:track:5xVuJeiizigYENiGpFRBcc,Two To One - Jaco Vocal Mix,"Adam Szabo, Johan Vilborg, Johnny Norberg",Estiva pres. Next Level Podcast Top 10 - January 2014,1,2,363636,spotify:user:plopous,2014-02-11T13:24:18Z
spotify:track:06qKEP3ITnVPmH2ZW1zYvn,Shotgun - Quintino Remix,"Yellow Claw, Rochelle, Quintino",Shotgun (The Remixes),1,1,293307,spotify:user:plopous,2014-02-11T16:23:22Z
spotify:track:1zJh6El9dMURyEgYWAQaOX,All The Way - Laidback Luke Bounce Club,Timeflies,All The Way (Remixes),1,3,339386,spotify:user:plopous,2014-02-11T16:25:12Z
spotify:track:2AXuPacZAtp8JOLeuS7YPQ,Xperience - Original Mix,"Juventa, Speed Limits",Estiva pres. Next Level Podcast Top 10 - January 2014,1,3,397514,spotify:user:plopous,2014-02-14T14:46:54Z
spotify:track:5Nzf4804ia7H1g8RjNr4YM,Ride Of Your Life - Original Mix,"APD, Johnny Norberg",Estiva pres. Next Level Podcast Top 10 - January 2014,1,4,361880,spotify:user:plopous,2014-02-14T14:46:54Z
spotify:track:092dz2yORKaJpC05ZlN9ME,Thunder - Original Mix,W&W,Thunder,1,1,298125,spotify:user:plopous,2013-05-22T15:09:49Z
spotify:track:2MUnSxgNj4KuSXBJmNnQS3,The Code - Original Mix,"W&W, Ummet Ozcan",The Code,1,1,314996,spotify:user:plopous,2013-02-19T16:35:40Z
spotify:track:6CAxNXEVNtqmQmIXcElYHW,Buzzcut,Bingo Players,Buzzcut,1,1,316535,spotify:user:plopous,2013-06-05T04:11:04Z
spotify:track:0hXSznTTHwq8JVOE9nzV9C,So Young So High,Dada Life,The Rules Of Dada,1,4,221866,,2012-10-31T03:59:28Z
spotify:track:7C31irmTjtMtBE1PeMeevS,Live for the Night,Krewella,Live for the Night,1,1,207333,spotify:user:plopous,2013-07-02T15:08:14Z
spotify:track:3IBMJLY5uN014W1hTzdTRl,Breakn' A Sweat - Zedd Remix,"Skrillex, The Doors, Zedd",Breakn' A Sweat (Zedd Remix),1,1,330576,,2012-02-21T15:07:51Z
spotify:track:14KtEyr1OCJnaYzWIpRHSA,Raise Those Hands,"R3HAB, Bassjackers",Raise Those Hands,1,1,302769,spotify:user:plopous,2013-07-17T17:07:22Z
spotify:track:352zfYbDFG8sxkmOAhVeuj,Under Control,"Calvin Harris, Alesso, Hurts",Under Control,1,1,184373,spotify:user:plopous,2013-10-18T17:44:56Z
spotify:track:3Sb16V2kMijsyRV075TNa0,Jumper - Original Mix,"Hardwell, W&W",Jumper,1,1,312187,spotify:user:plopous,2013-08-19T14:32:55Z
spotify:track:4ce29VAx1D8f3HULOHHA3K,LRAD,Knife Party,Haunted House,1,2,315140,spotify:user:plopous,2013-05-07T02:43:13Z
